Latitude,Longitude,Century_of_Origin,Known_Date_of_Origin,Dedication,Active_Devotion,MRO_Devotion,RAS)"
41.889308,12.475929,20,1901,1.1111111,0,,0
41.891292,12.519571,20,1944,1.122222222,1,2019,1
41.889075,12.525763,20,1957,1.23,1,2016,1
41.927345,12.511097,20,1901,2,1,2016,1
41.886022,12.541443,20,1901,2,1,2017,1
41.875788,12.465922,20,1901,2,0,,0
41.904068,12.485476,20,1901,2,0,,0
41.896878,12.473123,20,1901,2,0,,0
41.89907,12.476494,20,1901,2,0,,0
41.886696,12.465097,20,1901,2,0,,0
41.909679,12.464432,20,1901,2,0,,0
41.883648,12.523092,20,1901,2,1,2012,1
41.93731,12.465631,20,1901,2,0,,0
41.879994,12.462514,20,1901,2,0,,0
41.874096,12.462564,20,1901,2,0,,0
41.892585,12.489982,20,1901,2,0,,0
41.89234,12.48703,20,1901,2,0,,0
41.897196,12.473926,20,1901,2,0,,0
41.900297,12.473812,20,1901,2,0,,1
41.892054,12.468986,20,1901,2,0,,0
41.900679,12.483144,20,1901,2,0,,0
41.911187,12.468311,20,1901,2,0,,0
41.883458,12.518759,20,1901,2,0,,0
41.893401,12.414971,20,1901,2,0,,2
41.896184,12.418556,20,1901,2,0,,0
41.915944,12.464349,20,1901,2,0,,0
41.855164,12.481488,20,1901,2,0,,0
41.895873,12.500461,20,1909,2,0,,2
41.872906,12.467693,20,1944,2,0,,1
41.890756,12.482379,20,1954,2,0,,0
41.891354,12.480585,20,1954,2,0,,0
41.879147,12.461074,20,1954,2,0,,0
41.882454,12.531638,20,1958,2,1,2014,1
41.873013,12.46338,20,1968,2,1,2019,1
41.91961,12.47894,20,1979,2,1,2016,1
41.921695,12.483695,20,1901,2.1,1,2014,1
41.911411,12.509235,20,1901,2.1,0,,0
41.90871,12.45532,20,1901,2.1,0,,0
41.88333,12.543163,20,1901,2.1,0,,0
41.882439,12.513678,20,1901,2.1,0,,0
41.91972,12.460943,20,1901,2.1,1,2017,0
41.885716,12.53351,20,1901,2.1,0,,0
41.870405,12.470629,20,1901,2.1,0,,0
41.899648,12.494703,20,1901,2.1,0,,0
41.9031,12.462134,20,1901,2.1,0,,0
41.91658,12.457265,20,1901,2.1,0,,0
41.884303,12.524363,20,1901,2.1,0,,0
41.885983,12.521892,20,1901,2.1,0,,2
41.885291,12.523724,20,1901,2.1,0,,1
41.915869,12.46258,20,1901,2.1,1,2015,0
41.886011,12.522519,20,1901,2.1,0,,0
41.912588,12.496032,20,1901,2.1,0,,0
41.884977,12.521305,20,1901,2.1,1,2017,1
41.918332,12.45604,20,1901,2.1,0,,0
41.911584,12.50918,20,1901,2.1,0,,0
41.901008,12.4923,20,1901,2.1,0,,0
41.904353,12.482065,20,1901,2.1,0,,0
41.903937,12.485519,20,1901,2.1,0,,0
41.90482,12.48576,20,1901,2.1,0,,0
41.896781,12.469904,20,1901,2.1,0,,0
41.90436,12.458796,20,1901,2.1,0,,0
41.901362,12.460656,20,1901,2.1,0,,0
41.889349,12.476146,20,1901,2.1,0,,2
41.90586,12.487189,20,1901,2.1,1,2015,1
41.893947,12.477443,20,1901,2.1,0,,0
41.894646,12.470001,20,1901,2.1,0,,0
41.90869,12.46532,20,1901,2.1,0,,0
41.89346,12.48967,20,1901,2.1,0,,0
41.908749,12.477852,20,1901,2.1,0,,0
41.89231,12.50949,20,1901,2.1,0,,0
41.896792,12.475802,20,1901,2.1,0,,0
41.896466,12.49429,20,1901,2.1,0,,0
41.896876,12.494656,20,1901,2.1,0,,0
41.89905,12.48428,20,1901,2.1,0,,0
41.890669,12.483467,20,1901,2.1,0,,0
41.90259,12.48256,20,1901,2.1,0,,0
41.90961,12.47046,20,1901,2.1,0,,1
41.907561,12.488731,20,1901,2.1,0,,0
41.88979,12.47586,20,1901,2.1,0,,0
41.907011,12.487856,20,1901,2.1,0,,0
41.902506,12.473343,20,1901,2.1,0,,0
41.900164,12.495495,20,1901,2.1,0,,0
41.89778,12.46131,20,1901,2.1,0,,0
41.893494,12.473877,20,1901,2.1,0,,0
41.910405,12.465477,20,1901,2.1,0,,0
41.89606,12.46869,20,1901,2.1,0,,0
41.90468,12.485899,20,1901,2.1,0,,0
41.918579,12.501308,20,1927,2.1,1,2018,1
41.90122,12.46787,20,1936,2.1,0,,0
41.898456,12.482624,20,1945,2.1,0,,0
41.87248,12.44957,20,1951,2.1,1,2016,1
41.90339,12.463098,20,1953,2.1,1,2016,0
41.886524,12.515406,20,1960,2.1,0,,1
41.911191,12.494358,20,1901,2.122,0,,0
41.908059,12.451645,20,1929,2.122,0,,2
41.884658,12.470555,20,1944,2.122,1,2016,1
41.911136,12.495984,20,1901,2.12222,0,,0
41.888982,12.503491,20,1901,2.12222,1,2016,1
41.913279,12.469826,20,1901,2.122222222,0,,0
41.892917,12.541628,20,1901,2.122222222,1,2016,1
41.913305,12.499738,20,1901,2.122222222,1,2017,1
41.921645,12.505096,20,1901,2.129,1,2016,1
41.923085,12.513159,20,1901,2.129,1,2016,0
